name x1 y1 x2 y2 x3 y3 x4 y4 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727062001_02101_00002_nrcalong_cal.fits 150.235294 2.254485 150.221375 2.221604 150.188331 2.235632 150.202250 2.268512 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727062001_02101_00002_nrcblong_cal.fits 150.215733 2.209875 150.201651 2.177004 150.168581 2.191099 150.182662 2.223970 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727062001_02101_00001_nrcalong_cal.fits 150.233780 2.255188 150.219861 2.222307 150.186817 2.236334 150.200736 2.269215 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727017001_02101_00001_nrcalong_cal.fits 150.230323 2.564218 150.216401 2.531338 150.183349 2.545365 150.197271 2.578246 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727007001_02101_00002_nrcblong_cal.fits 150.041435 2.581020 150.027348 2.548149 149.994269 2.562244 150.008355 2.595116 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727017001_02101_00002_nrcalong_cal.fits 150.231837 2.563516 150.217915 2.530635 150.184863 2.544663 150.198785 2.577544 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727017001_02101_00001_nrcblong_cal.fits 150.210758 2.519608 150.196672 2.486737 150.163594 2.500832 150.177679 2.533703 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727017001_02101_00003_nrcalong_cal.fits 150.237256 2.576125 150.223333 2.543245 150.190281 2.557272 150.204203 2.590153 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727017001_02101_00004_nrcblong_cal.fits 150.216176 2.532218 150.202090 2.499347 150.169012 2.513442 150.183097 2.546313 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727156001_03101_00003_nrcalong_cal.fits 150.135959 2.204402 150.124961 2.170434 150.090819 2.181530 150.101817 2.215499 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727156001_03101_00001_nrcalong_cal.fits 150.130093 2.191937 150.119095 2.157968 150.084954 2.169065 150.095952 2.203034 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727025001_02101_00001_nrcblong_cal.fits 150.347400 2.469920 150.333315 2.437048 150.300238 2.451143 150.314322 2.484015 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727016001_02101_00003_nrcblong_cal.fits 150.150520 2.453352 150.136435 2.420481 150.103359 2.434576 150.117443 2.467447 
/automnt/n23data2/mfranco/jwst/COSMOS-Web_jan_2024/products/pipeline_level2/f277w/jw01727051001_02101_00003_nrcblong_cal.fits 150.083349 2.375189 150.069265 2.342317 150.036191 2.356412 150.050275 2.389284 
